respID,qID,altID,obsID,profileID,monthlyRent,location,distanceToMetro,squareFootage,fitnessCenter,twentyFourSevenConcierge,parking,communitySpace,utilitiesIncludedInRent,image
1,1,1,1,812,2000,1,5,500,Yes,No,Yes,No,Yes,https://github.com/MargNorton/housingdeath/blob/main/images/500sqft.png?raw=true
1,1,2,1,807,2500,3,15,700,No,Yes,Yes,No,Yes,https://github.com/MargNorton/housingdeath/blob/main/images/700sqft.png?raw=true
1,1,3,1,1587,2500,1,15,600,No,No,Yes,Yes,No,https://github.com/MargNorton/housingdeath/blob/main/images/600sqft.png?raw=true
1,2,1,2,2222,2000,5,5,600,No,No,Yes,No,No,https://github.com/MargNorton/housingdeath/blob/main/images/600sqft.png?raw=true
1,2,2,2,1891,1500,1,5,600,No,No,No,Yes,No,https://github.com/MargNorton/housingdeath/blob/main/images/600sqft.png?raw=true
1,2,3,2,5,2000,3,5,500,Yes,Yes,Yes,Yes,Yes,https://github.com/MargNorton/housingdeath/blob/main/images/500sqft.png?raw=true
1,3,1,3,97,1500,5,10,500,No,Yes,Yes,Yes,Yes,https://github.com/MargNorton/housingdeath/blob/main/images/500sqft.png?raw=true
1,3,2,3,699,2500,3,15,600,Yes,Yes,Yes,No,Yes,https://github.com/MargNorton/housingdeath/blob/main/images/600sqft.png?raw=true
1,3,3,3,174,2500,1,10,500,Yes,No,Yes,Yes,Yes,https://github.com/MargNorton/housingdeath/blob/main/images/500sqft.png?raw=true
1,4,1,4,2270,2000,1,5,500,Yes,Yes,No,No,No,https://github.com/MargNorton/housingdeath/blob/main/images/500sqft.png?raw=true
1,4,2,4,2260,1500,1,15,700,No,No,Yes,No,No,https://github.com/MargNorton/housingdeath/blob/main/images/700sqft.png?raw=true
1,4,3,4,1954,1500,1,10,500,Yes,Yes,Yes,No,No,https://github.com/MargNorton/housingdeath/blob/main/images/500sqft.png?raw=true
1,5,1,5,930,2500,1,10,600,No,No,Yes,No,Yes,https://github.com/MargNorton/housingdeath/blob/main/images/600sqft.png?raw=true
1,5,2,5,1962,2500,5,10,500,Yes,Yes,Yes,No,No,https://github.com/MargNorton/housingdeath/blob/main/images/500sqft.png?raw=true
1,5,3,5,1922,2000,3,5,700,No,No,No,Yes,No,https://github.com/MargNorton/housingdeath/blob/main/images/700sqft.png?raw=true
1,6,1,6,2339,2000,5,10,700,Yes,Yes,No,No,No,https://github.com/MargNorton/housingdeath/blob/main/images/700sqft.png?raw=true
1,6,2,6,643,1500,3,15,700,No,No,No,Yes,Yes,https://github.com/MargNorton/housingdeath/blob/main/images/700sqft.png?raw=true
1,6,3,6,1561,1500,3,15,500,No,No,Yes,Yes,No,https://github.com/MargNorton/housingdeath/blob/main/images/500sqft.png?raw=true
1,7,1,7,2568,2500,1,5,700,No,No,No,No,No,https://github.com/MargNorton/housingdeath/blob/main/images/700sqft.png?raw=true
1,7,2,7,1749,2500,1,15,600,No,Yes,No,Yes,No,https://github.com/MargNorton/housingdeath/blob/main/images/600sqft.png?raw=true
1,7,3,7,869,2000,3,5,700,Yes,No,Yes,No,Yes,https://github.com/MargNorton/housingdeath/blob/main/images/700sqft.png?raw=true
1,8,1,8,1870,1500,5,5,500,No,No,No,Yes,No,https://github.com/MargNorton/housingdeath/blob/main/images/500sqft.png?raw=true
1,8,2,8,1173,2500,1,10,600,Yes,No,No,No,Yes,https://github.com/MargNorton/housingdeath/blob/main/images/600sqft.png?raw=true
1,8,3,8,1708,1500,5,5,500,No,Yes,No,Yes,No,https://github.com/MargNorton/housingdeath/blob/main/images/500sqft.png?raw=true
2,1,1,9,2132,2000,5,15,500,Yes,No,Yes,No,No,https://github.com/MargNorton/housingdeath/blob/main/images/500sqft.png?raw=true
2,1,2,9,2564,2000,5,15,600,No,No,No,No,No,https://github.com/MargNorton/housingdeath/blob/main/images/600sqft.png?raw=true
2,1,3,9,2229,2500,3,10,600,No,No,Yes,No,No,https://github.com/MargNorton/housingdeath/blob/main/images/600sqft.png?raw=true
2,2,1,10,636,2500,3,10,700,No,No,No,Yes,Yes,https://github.com/MargNorton/housingdeath/blob/main/images/700sqft.png?raw=true
2,2,2,10,970,1500,5,15,700,No,No,Yes,No,Yes,https://github.com/MargNorton/housingdeath/blob/main/images/700sqft.png?raw=true
2,2,3,10,5,2000,3,5,500,Yes,Yes,Yes,Yes,Yes,https://github.com/MargNorton/housingdeath/blob/main/images/500sqft.png?raw=true
2,3,1,11,1872,2500,5,5,500,No,No,No,Yes,No,https://github.com/MargNorton/housingdeath/blob/main/images/500sqft.png?raw=true
2,3,2,11,388,1500,1,10,700,Yes,Yes,No,Yes,Yes,https://github.com/MargNorton/housingdeath/blob/main/images/700sqft.png?raw=true
2,3,3,11,2526,2500,3,10,500,No,No,No,No,No,https://github.com/MargNorton/housingdeath/blob/main/images/500sqft.png?raw=true
2,4,1,12,912,2500,1,15,500,No,No,Yes,No,Yes,https://github.com/MargNorton/housingdeath/blob/main/images/500sqft.png?raw=true
2,4,2,12,670,1500,3,15,500,Yes,Yes,Yes,No,Yes,https://github.com/MargNorton/housingdeath/blob/main/images/500sqft.png?raw=true
2,4,3,12,468,2500,5,5,700,No,Yes,No,Yes,Yes,https://github.com/MargNorton/housingdeath/blob/main/images/700sqft.png?raw=true
2,5,1,13,58,1500,3,5,700,Yes,Yes,Yes,Yes,Yes,https://github.com/MargNorton/housingdeath/blob/main/images/700sqft.png?raw=true
2,5,2,13,735,2500,3,5,500,No,Yes,Yes,No,Yes,https://github.com/MargNorton/housingdeath/blob/main/images/500sqft.png?raw=true
2,5,3,13,1685,2000,1,10,700,Yes,Yes,No,Yes,No,https://github.com/MargNorton/housingdeath/blob/main/images/700sqft.png?raw=true
2,6,1,14,2286,2500,5,10,500,Yes,Yes,No,No,No,https://github.com/MargNorton/housingdeath/blob/main/images/500sqft.png?raw=true
2,6,2,14,1766,2000,1,10,700,No,Yes,No,Yes,No,https://github.com/MargNorton/housingdeath/blob/main/images/700sqft.png?raw=true
2,6,3,14,7,1500,5,5,500,Yes,Yes,Yes,Yes,Yes,https://github.com/MargNorton/housingdeath/blob/main/images/500sqft.png?raw=true
2,7,1,15,229,1500,3,10,700,Yes,No,Yes,Yes,Yes,https://github.com/MargNorton/housingdeath/blob/main/images/700sqft.png?raw=true
2,7,2,15,451,1500,1,15,600,No,Yes,No,Yes,Yes,https://github.com/MargNorton/housingdeath/blob/main/images/600sqft.png?raw=true
2,7,3,15,1850,2000,3,10,700,Yes,No,No,Yes,No,https://github.com/MargNorton/housingdeath/blob/main/images/700sqft.png?raw=true
2,8,1,16,566,2000,5,15,700,Yes,No,No,Yes,Yes,https://github.com/MargNorton/housingdeath/blob/main/images/700sqft.png?raw=true
2,8,2,16,1892,2000,1,5,600,No,No,No,Yes,No,https://github.com/MargNorton/housingdeath/blob/main/images/600sqft.png?raw=true
2,8,3,16,685,1500,1,10,600,Yes,Yes,Yes,No,Yes,https://github.com/MargNorton/housingdeath/blob/main/images/600sqft.png?raw=true
3,1,1,17,536,2000,3,15,600,Yes,No,No,Yes,Yes,https://github.com/MargNorton/housingdeath/blob/main/images/600sqft.png?raw=true
3,1,2,17,386,2000,5,5,700,Yes,Yes,No,Yes,Yes,https://github.com/MargNorton/housingdeath/blob/main/images/700sqft.png?raw=true
3,1,3,17,2216,2000,1,5,600,No,No,Yes,No,No,https://github.com/MargNorton/housingdeath/blob/main/images/600sqft.png?raw=true
3,2,1,18,1828,1500,1,15,600,Yes,No,No,Yes,No,https://github.com/MargNorton/housingdeath/blob/main/images/600sqft.png?raw=true
3,2,2,18,1787,2000,3,5,500,Yes,No,No,Yes,No,https://github.com/MargNorton/housingdeath/blob/main/images/500sqft.png?raw=true
3,2,3,18,2580,2500,3,10,700,No,No,No,No,No,https://github.com/MargNorton/housingdeath/blob/main/images/700sqft.png?raw=true
3,3,1,19,903,2500,1,10,500,No,No,Yes,No,Yes,https://github.com/MargNorton/housingdeath/blob/main/images/500sqft.png?raw=true
3,3,2,19,959,2000,3,10,700,No,No,Yes,No,Yes,https://github.com/MargNorton/housingdeath/blob/main/images/700sqft.png?raw=true
3,3,3,19,1098,2500,5,10,600,No,Yes,No,No,Yes,https://github.com/MargNorton/housingdeath/blob/main/images/600sqft.png?raw=true
3,4,1,20,616,1500,3,15,600,No,No,No,Yes,Yes,https://github.com/MargNorton/housingdeath/blob/main/images/600sqft.png?raw=true
3,4,2,20,274,1500,3,5,600,No,No,Yes,Yes,Yes,https://github.com/MargNorton/housingdeath/blob/main/images/600sqft.png?raw=true
3,4,3,20,1322,2000,5,15,500,Yes,Yes,Yes,Yes,No,https://github.com/MargNorton/housingdeath/blob/main/images/500sqft.png?raw=true
3,5,1,21,1340,2000,5,10,600,Yes,Yes,Yes,Yes,No,https://github.com/MargNorton/housingdeath/blob/main/images/600sqft.png?raw=true
3,5,2,21,1051,1500,5,15,700,Yes,Yes,No,No,Yes,https://github.com/MargNorton/housingdeath/blob/main/images/700sqft.png?raw=true
3,5,3,21,2034,2500,5,5,500,No,Yes,Yes,No,No,https://github.com/MargNorton/housingdeath/blob/main/images/500sqft.png?raw=true
3,6,1,22,2041,1500,5,10,500,No,Yes,Yes,No,No,https://github.com/MargNorton/housingdeath/blob/main/images/500sqft.png?raw=true
3,6,2,22,1192,1500,3,5,700,Yes,No,No,No,Yes,https://github.com/MargNorton/housingdeath/blob/main/images/700sqft.png?raw=true
3,6,3,22,385,1500,5,5,700,Yes,Yes,No,Yes,Yes,https://github.com/MargNorton/housingdeath/blob/main/images/700sqft.png?raw=true
3,7,1,23,1546,1500,5,5,500,No,No,Yes,Yes,No,https://github.com/MargNorton/housingdeath/blob/main/images/500sqft.png?raw=true
3,7,2,23,1214,2000,5,15,700,Yes,No,No,No,Yes,https://github.com/MargNorton/housingdeath/blob/main/images/700sqft.png?raw=true
3,7,3,23,1798,1500,5,10,500,Yes,No,No,Yes,No,https://github.com/MargNorton/housingdeath/blob/main/images/500sqft.png?raw=true
3,8,1,24,549,2500,5,5,700,Yes,No,No,Yes,Yes,https://github.com/MargNorton/housingdeath/blob/main/images/700sqft.png?raw=true
3,8,2,24,306,2500,5,5,700,No,No,Yes,Yes,Yes,https://github.com/MargNorton/housingdeath/blob/main/images/700sqft.png?raw=true
3,8,3,24,1710,2500,5,5,500,No,Yes,No,Yes,No,https://github.com/MargNorton/housingdeath/blob/main/images/500sqft.png?raw=true
4,1,1,25,1161,2500,5,15,500,Yes,No,No,No,Yes,https://github.com/MargNorton/housingdeath/blob/main/images/500sqft.png?raw=true
4,1,2,25,1576,1500,1,10,600,No,No,Yes,Yes,No,https://github.com/MargNorton/housingdeath/blob/main/images/600sqft.png?raw=true
4,1,3,25,1877,2000,3,10,500,No,No,No,Yes,No,https://github.com/MargNorton/housingdeath/blob/main/images/500sqft.png?raw=true
4,2,1,26,2233,1500,1,15,600,No,No,Yes,No,No,https://github.com/MargNorton/housingdeath/blob/main/images/600sqft.png?raw=true
4,2,2,26,1047,2500,1,15,700,Yes,Yes,No,No,Yes,https://github.com/MargNorton/housingdeath/blob/main/images/700sqft.png?raw=true
